,id,name,No of tosses,skills
11206,658.0,DJ_Houghton@oti.com,332.0,
11207,223.0,Darin_Wright@oti.com,111.0,
11208,634.0,Mike_Wilson@oti.com,1.0,{'Core'}
11209,636.0,DJ_Houghton@oti.com,332.0,
11210,657.0,Kevin_Haaland@oti.com,59.0,
11211,662.0,Philippe_Mulet@oti.com,398.0,
11212,505.0,Kevin_Haaland@oti.com,59.0,
11213,507.0,DJ_Houghton@oti.com,332.0,
11214,668.0,Erich_Gamma@oti.com,555.0,
11228,489.0,Erich_Gamma@oti.com,555.0,
11229,671.0,Erich_Gamma@oti.com,555.0,
11230,672.0,Erich_Gamma@oti.com,555.0,
11231,454.0,Darin_Wright@ca.ibm.com,1.0,
11232,664.0,jdt-ui-inbox@eclipse.org,5009.0,
11233,575.0,John_Wiegand@us.ibm.com,3.0,{'Core'}
11234,179.0,Darin_Wright@ca.ibm.com,1.0,
11235,584.0,Erich_Gamma@oti.com,555.0,
11236,687.0,gilberta@ca.ibm.com,,
11237,694.0,DJ_Houghton@oti.com,332.0,
11238,696.0,jdt-core-inbox@eclipse.org,3184.0,
11239,331.0,Philippe_Mulet@oti.com,398.0,
11240,723.0,Philippe_Mulet@oti.com,398.0,
11241,724.0,Philippe_Mulet@oti.com,398.0,
11242,727.0,platform-resources-inbox@eclipse.org,,{'Core'}
11243,728.0,Philippe_Mulet@oti.com,398.0,
11244,719.0,DJ_Houghton@oti.com,332.0,
11245,448.0,platform-debug-inbox@eclipse.org,275.0,
11246,579.0,philippe_mulet@fr.ibm.com,3.0,{'Core'}
11247,747.0,Philippe_Mulet@oti.com,398.0,
11250,705.0,Mike_Wilson@oti.com,1.0,
11251,457.0,chanskw@ca.ibm.com,,
11258,709.0,platform-swt-inbox@eclipse.org,1.0,
11259,717.0,jdt-ui-inbox@eclipse.org,5009.0,
11260,731.0,platform-text-inbox@eclipse.org,468.0,
11261,734.0,Kevin_McGuire@oti.com,,
11262,675.0,Philippe_Mulet@oti.com,398.0,
11263,755.0,Darin_Wright@ca.ibm.com,1.0,
11264,703.0,Erich_Gamma@oti.com,555.0,
11265,752.0,Philippe_Mulet@oti.com,398.0,
11266,462.0,turnham@ca.ibm.com,,
11267,455.0,platform-resources-inbox@eclipse.org,,
11268,758.0,Philippe_Mulet@oti.com,398.0,
11269,42.0,Erich_Gamma@oti.com,555.0,
11270,720.0,Kevin_Haaland@oti.com,59.0,
11271,559.0,Erich_Gamma@oti.com,555.0,
11272,763.0,DJ_Houghton@oti.com,332.0,
11273,748.0,Erich_Gamma@oti.com,555.0,
11274,751.0,Kevin_Haaland@oti.com,59.0,
11275,771.0,birsan@ca.ibm.com,1.0,
11276,765.0,DJ_Houghton@oti.com,332.0,
11277,251.0,Mike_Wilson@oti.com,1.0,
11278,565.0,Mike_Wilson@oti.com,1.0,
11279,761.0,Philippe_Mulet@oti.com,398.0,
11280,777.0,Platform-UI-Inbox@eclipse.org,2092.0,
11281,285.0,jdt-ui-inbox@eclipse.org,5009.0,
11282,774.0,DJ_Houghton@oti.com,332.0,
11283,788.0,Erich_Gamma@oti.com,555.0,
11284,776.0,Erich_Gamma@oti.com,555.0,
11285,782.0,turnham@ca.ibm.com,,
11286,770.0,jdt-core-inbox@eclipse.org,3184.0,
11287,792.0,jdt-ui-inbox@eclipse.org,5009.0,
11288,794.0,jdt-core-inbox@eclipse.org,3184.0,
11289,268.0,jdt-core-inbox@eclipse.org,3184.0,
11293,434.0,pde-build-inbox@eclipse.org,,
11294,806.0,DJ_Houghton@oti.com,332.0,
11295,811.0,klicnik@ca.ibm.com,1.0,
11296,772.0,Kevin_McGuire@oti.com,,
11297,608.0,pde-build-inbox@eclipse.org,,
11298,815.0,DJ_Houghton@oti.com,332.0,
11299,818.0,jdt-core-inbox@eclipse.org,3184.0,
11300,679.0,platform-debug-inbox@eclipse.org,275.0,
11301,820.0,DJ_Houghton@oti.com,332.0,
11302,822.0,jdt-core-inbox@eclipse.org,3184.0,
11303,808.0,Platform-UI-Inbox@eclipse.org,2092.0,
11304,793.0,erich_gamma@ch.ibm.com,8.0,
11305,715.0,Kevin_Haaland@oti.com,59.0,
11306,833.0,DJ_Houghton@oti.com,332.0,
11307,802.0,Kevin_McGuire@oti.com,,
11308,832.0,Mike_Wilson@oti.com,1.0,
11309,835.0,DJ_Houghton@oti.com,332.0,
11310,587.0,philippe_mulet@fr.ibm.com,3.0,
11311,762.0,DJ_Houghton@oti.com,332.0,
11312,807.0,Mike_Wilson@oti.com,1.0,
11313,693.0,jdt-text-inbox@eclipse.org,1195.0,
11314,834.0,Platform-UI-Inbox@eclipse.org,2092.0,
11315,547.0,jdt-ui-inbox@eclipse.org,5009.0,
11316,831.0,Erich_Gamma@oti.com,555.0,
11317,680.0,Philippe_Mulet@oti.com,398.0,
11318,791.0,Darin_Wright@ca.ibm.com,1.0,
11321,849.0,Mike_Wilson@oti.com,1.0,
11322,737.0,pde-ui-inbox@eclipse.org,519.0,{'Core'}
11323,745.0,Erich_Gamma@oti.com,555.0,
11324,767.0,DJ_Houghton@oti.com,332.0,
11325,319.0,Kevin_McGuire@oti.com,,
11326,819.0,platform-text-inbox@eclipse.org,468.0,
11327,859.0,platform-team-inbox@eclipse.org,,
11328,843.0,Mike_Wilson@oti.com,1.0,
11329,740.0,platform-cvs-inbox@eclipse.org,,
11330,869.0,Erich_Gamma@oti.com,555.0,
11331,870.0,equinox.p2-inbox@eclipse.org,,
11332,865.0,Erich_Gamma@oti.com,555.0,
11333,768.0,Philippe_Mulet@oti.com,398.0,
11334,509.0,jdt-ui-inbox@eclipse.org,5009.0,
11335,626.0,Darin_Wright@ca.ibm.com,1.0,
11336,877.0,jdt-text-inbox@eclipse.org,1195.0,
11337,876.0,birsan@ca.ibm.com,1.0,
11338,873.0,Kevin_Haaland@oti.com,59.0,
11339,221.0,Kevin_Haaland@oti.com,59.0,
11340,73.0,philippe_mulet@fr.ibm.com,3.0,
11341,884.0,jdt-ui-inbox@eclipse.org,5009.0,
11342,882.0,platform-vcm-inbox@eclipse.org,,
11343,890.0,Kevin_McGuire@oti.com,,
11344,519.0,jdt-ui-inbox@eclipse.org,5009.0,{'Core'}
11345,643.0,philippe_mulet@fr.ibm.com,3.0,
11346,557.0,Erich_Gamma@oti.com,555.0,
11347,897.0,Mike_Wilson@oti.com,1.0,
11348,864.0,Platform-UI-Inbox@eclipse.org,2092.0,
11349,900.0,jdt-core-inbox@eclipse.org,3184.0,
11350,901.0,Mike_Wilson@oti.com,1.0,
11351,659.0,Platform-UI-Inbox@eclipse.org,2092.0,
11352,903.0,Platform-UI-Inbox@eclipse.org,2092.0,
11353,911.0,platform-debug-inbox@eclipse.org,275.0,
11354,905.0,pde-ui-inbox@eclipse.org,519.0,{'Core'}
11355,914.0,DJ_Houghton@oti.com,332.0,
11356,913.0,platform-swt-inbox@eclipse.org,1.0,
11357,917.0,platform-vcm-inbox@eclipse.org,,
11358,916.0,Platform-UI-Inbox@eclipse.org,2092.0,
11359,923.0,Philippe_Mulet@oti.com,398.0,
11360,930.0,DJ_Houghton@oti.com,332.0,
11361,137.0,Darin_Wright@ca.ibm.com,1.0,
11362,259.0,Philippe_Mulet@oti.com,398.0,
11363,937.0,Philippe_Mulet@oti.com,398.0,
11364,919.0,Kevin_McGuire@oti.com,,
11365,908.0,Mike_Wilson@oti.com,1.0,
11366,465.0,Erich_Gamma@oti.com,555.0,
11367,944.0,Philippe_Mulet@oti.com,398.0,
11368,501.0,jdt-ui-inbox@eclipse.org,5009.0,
11369,779.0,Kevin_McGuire@ca.ibm.com,1.0,
11370,951.0,Erich_Gamma@oti.com,555.0,
11371,960.0,jdt-core-inbox@eclipse.org,3184.0,
11372,506.0,jdt-debug-inbox@eclipse.org,378.0,
11373,963.0,Platform-UI-Inbox@eclipse.org,2092.0,{'UI'}
11374,962.0,Nick_Edgar@oti.com,111.0,
11375,927.0,Platform-UI-Inbox@eclipse.org,2092.0,
11376,435.0,Philippe_Mulet@oti.com,398.0,
11377,966.0,Mike_Wilson@oti.com,1.0,
11378,721.0,Erich_Gamma@oti.com,555.0,
11379,701.0,pde-ui-inbox@eclipse.org,519.0,
11380,918.0,platform-debug-inbox@eclipse.org,275.0,
11381,987.0,Philippe_Mulet@oti.com,398.0,
11382,986.0,jdt-ui-inbox@eclipse.org,5009.0,
11383,980.0,erich_gamma@ch.ibm.com,8.0,
11384,975.0,Erich_Gamma@oti.com,555.0,
11385,208.0,philippe_mulet@fr.ibm.com,3.0,
11386,713.0,Erich_Gamma@oti.com,555.0,
11387,795.0,Erich_Gamma@oti.com,555.0,
11388,992.0,DJ_Houghton@oti.com,332.0,
11389,984.0,Philippe_Mulet@oti.com,398.0,
11390,979.0,Philippe_Mulet@oti.com,398.0,
11391,855.0,jdt-core-inbox@eclipse.org,3184.0,
11392,1002.0,DJ_Houghton@oti.com,332.0,
11393,1000.0,Kevin_McGuire@ca.ibm.com,1.0,
11394,969.0,jdt-core-inbox@eclipse.org,3184.0,
11395,922.0,DJ_Houghton@oti.com,332.0,
11396,812.0,Philippe_Mulet@oti.com,398.0,
11397,1013.0,Philippe_Mulet@oti.com,398.0,
11398,826.0,platform-ua-inbox@eclipse.org,1.0,
11399,941.0,dejan@ca.ibm.com,27.0,
11400,1023.0,Philippe_Mulet@oti.com,398.0,
11401,1021.0,pde-core-inbox@eclipse.org,109.0,
11402,1027.0,DJ_Houghton@oti.com,332.0,
11403,1034.0,erich_gamma@ch.ibm.com,8.0,
11404,1036.0,Philippe_Mulet@oti.com,398.0,
11405,1039.0,Erich_Gamma@oti.com,555.0,
11406,1031.0,Philippe_Mulet@oti.com,398.0,
11407,325.0,platform-swt-inbox@eclipse.org,1.0,
11408,1040.0,Nick_Edgar@oti.com,111.0,
11409,114.0,platform-vcm-inbox@eclipse.org,,
11410,246.0,platform-ua-inbox@eclipse.org,1.0,
11411,976.0,philippe_mulet@fr.ibm.com,3.0,
11412,856.0,DJ_Houghton@oti.com,332.0,
11413,1041.0,Mike_Wilson@oti.com,1.0,
11414,1042.0,Mike_Wilson@oti.com,1.0,
11415,809.0,dejan@ca.ibm.com,27.0,
11416,1020.0,Erich_Gamma@oti.com,555.0,
11417,998.0,erich_gamma@ch.ibm.com,8.0,
11418,996.0,DJ_Houghton@oti.com,332.0,
11419,932.0,pde-ui-inbox@eclipse.org,519.0,
11420,1050.0,Philippe_Mulet@oti.com,398.0,
11421,1049.0,DJ_Houghton@oti.com,332.0,
11422,1058.0,jdt-apt-inbox@eclipse.org,166.0,
11423,1026.0,Erich_Gamma@oti.com,555.0,
11424,688.0,DJ_Houghton@oti.com,332.0,
11425,1066.0,Mike_Wilson@oti.com,1.0,
11426,1057.0,erich_gamma@ch.ibm.com,8.0,{'UI'}
11427,1075.0,platform-runtime-inbox@eclipse.org,,
11428,1001.0,platform-swt-inbox@eclipse.org,1.0,
11429,1079.0,platform-text-inbox@eclipse.org,468.0,
11430,1081.0,Erich_Gamma@oti.com,555.0,
11431,92066.0,jdt-text-inbox@eclipse.org,1195.0,
11432,1089.0,Nick_Edgar@oti.com,111.0,
11433,1090.0,Erich_Gamma@oti.com,555.0,
11434,1028.0,Platform-UI-Inbox@eclipse.org,2092.0,
11435,1094.0,Philippe_Mulet@oti.com,398.0,
11436,1096.0,Nick_Edgar@oti.com,111.0,
11437,1091.0,Mike_Wilson@oti.com,1.0,
11438,1099.0,pde-ui-inbox@eclipse.org,519.0,
11439,1100.0,Platform-UI-Inbox@eclipse.org,2092.0,
11440,1051.0,platform-swt-inbox@eclipse.org,1.0,
11441,678.0,pde-doc-inbox@eclipse.org,42.0,
11442,621.0,Darin_Wright@oti.com,111.0,
11443,1105.0,Nick_Edgar@oti.com,111.0,
11444,1076.0,Erich_Gamma@oti.com,555.0,
11445,1103.0,platform-swt-inbox@eclipse.org,1.0,
11446,542.0,Philippe_Mulet@oti.com,398.0,
11447,1107.0,DJ_Houghton@oti.com,332.0,
11448,1098.0,Mike_Wilson@oti.com,1.0,
11449,1046.0,dejan@ca.ibm.com,27.0,
11450,1114.0,Mike_Wilson@oti.com,1.0,
11451,1118.0,dj_houghton@ca.ibm.com,2.0,
11452,1113.0,birsan@ca.ibm.com,1.0,
11453,1055.0,platform-ant-inbox@eclipse.org,,
11454,1120.0,jdt-core-inbox@eclipse.org,3184.0,
11455,1117.0,platform-core-inbox@eclipse.org,658.0,
11456,1127.0,Mike_Wilson@oti.com,1.0,
11457,1116.0,Erich_Gamma@oti.com,555.0,
11458,1131.0,Nick_Edgar@oti.com,111.0,
11459,1134.0,wst.xml-inbox@eclipse.org,,
11460,981.0,Mike_Wilson@oti.com,1.0,
11461,1070.0,Nick_Edgar@oti.com,111.0,
11462,1109.0,Winchest@uk.ibm.com,,
11463,364.0,birsan@ca.ibm.com,1.0,
11464,1138.0,jdt-ui-inbox@eclipse.org,5009.0,
11465,418.0,platform-swt-inbox@eclipse.org,1.0,
11739,167.0,platform-ua-inbox@eclipse.org,1.0,
11740,1143.0,Mike_Wilson@oti.com,1.0,
11741,1111.0,Erich_Gamma@oti.com,555.0,
11742,1140.0,jdt-core-inbox@eclipse.org,3184.0,
11743,1149.0,Platform-UI-Inbox@eclipse.org,2092.0,
11744,1152.0,platform-vcm-inbox@eclipse.org,,
11745,1102.0,DJ_Houghton@oti.com,332.0,
11746,1132.0,jdt-core-inbox@eclipse.org,3184.0,
11747,1155.0,Platform-UI-Inbox@eclipse.org,2092.0,
11748,1159.0,klicnik@ca.ibm.com,1.0,
11749,860.0,Philippe_Mulet@oti.com,398.0,
11750,352.0,Kevin_Haaland@oti.com,59.0,
11751,308.0,Kevin_Haaland@oti.com,59.0,
11752,510.0,Erich_Gamma@oti.com,555.0,
11753,78.0,klicnik@ca.ibm.com,1.0,
11754,1160.0,Kevin_McGuire@oti.com,,
11755,1161.0,Nick_Edgar@oti.com,111.0,
11756,1139.0,Erich_Gamma@oti.com,555.0,
11757,1171.0,Philippe_Mulet@oti.com,398.0,
11758,1178.0,jdt-core-inbox@eclipse.org,3184.0,
11759,1174.0,jdt-ui-inbox@eclipse.org,5009.0,
11760,1181.0,platform-swt-inbox@eclipse.org,1.0,
11761,1185.0,DJ_Houghton@oti.com,332.0,
11762,1187.0,Erich_Gamma@oti.com,555.0,
11763,156.0,platform-swt-inbox@eclipse.org,1.0,
11764,1130.0,Erich_Gamma@oti.com,555.0,
11765,1128.0,Erich_Gamma@oti.com,555.0,
11766,1052.0,Mike_Wilson@oti.com,1.0,
11767,978.0,Erich_Gamma@oti.com,555.0,
11768,1196.0,Mike_Wilson@oti.com,1.0,
11769,1198.0,Philippe_Mulet@oti.com,398.0,
11770,1195.0,Philippe_Mulet@oti.com,398.0,
11771,1201.0,Platform-UI-Inbox@eclipse.org,2092.0,
11772,1172.0,Platform-UI-Inbox@eclipse.org,2092.0,
11773,769.0,platform-vcm-inbox@eclipse.org,,
11774,773.0,Platform-UI-Inbox@eclipse.org,2092.0,
11775,421.0,platform-swt-inbox@eclipse.org,1.0,
11776,1204.0,platform-swt-inbox@eclipse.org,1.0,
11777,1205.0,Mike_Wilson@oti.com,1.0,
11778,241.0,Darin_Wright@ca.ibm.com,1.0,
11779,1211.0,Erich_Gamma@oti.com,555.0,
11780,938.0,jdt-ui-inbox@eclipse.org,5009.0,
11781,1177.0,platform-debug-inbox@eclipse.org,275.0,
11782,567.0,Erich_Gamma@oti.com,555.0,
11783,898.0,Philippe_Mulet@oti.com,398.0,
11784,656.0,Kevin_Haaland@oti.com,59.0,
11785,1214.0,jdt-core-inbox@eclipse.org,3184.0,
11786,1223.0,DJ_Houghton@oti.com,332.0,
11787,1221.0,platform-swt-inbox@eclipse.org,1.0,
11788,1216.0,Mike_Wilson@oti.com,1.0,
11789,1219.0,Mike_Wilson@oti.com,1.0,
